0:00:00.046362: Frequency: 0.0, Amplitude: 44.99996566772461, Offset: 109.99984741210938, Phase Shift: 0.0, Phase: 38574.12890625
0:00:00.146680: Frequency: 0.0, Amplitude: 41.11259460449219, Offset: 109.12299346923828, Phase Shift: 0.0, Phase: 38574.6875
0:00:00.229979: Frequency: 0.0, Amplitude: 37.403072357177734, Offset: 108.2470932006836, Phase Shift: 0.0, Phase: 38575.2734375
0:00:00.349274: Frequency: 0.0, Amplitude: 32.87173843383789, Offset: 107.1153793334961, Phase Shift: 0.0, Phase: 38576.07421875
0:00:00.421274: Frequency: 0.0, Amplitude: 30.546390533447266, Offset: 106.5046157836914, Phase Shift: 0.0, Phase: 38576.52734375
0:00:00.560904: Frequency: 0.0, Amplitude: 26.874217987060547, Offset: 105.48893737792969, Phase Shift: 0.0, Phase: 38577.3203125
0:00:00.644120: Frequency: 0.0, Amplitude: 24.67937660217285, Offset: 104.84746551513672, Phase Shift: 0.0, Phase: 38577.84765625
0:00:00.746038: Frequency: 0.0, Amplitude: 22.40673065185547, Offset: 104.153076171875, Phase Shift: 0.0, Phase: 38578.44140625
0:00:00.827383: Frequency: 0.0, Amplitude: 20.32245635986328, Offset: 103.48432159423828, Phase Shift: 0.0, Phase: 38579.04296875
0:00:00.909729: Frequency: 0.0, Amplitude: 18.662702560424805, Offset: 102.92586517333984, Phase Shift: 0.0, Phase: 38579.5703125
0:00:01.011836: Frequency: 0.0, Amplitude: 16.926443099975586, Offset: 102.31505584716797, Phase Shift: 0.0, Phase: 38580.171875
0:00:01.113304: Frequency: 0.0, Amplitude: 15.35215950012207, Offset: 101.73320007324219, Phase Shift: 0.0, Phase: 38580.7734375
0:00:01.214566: Frequency: 0.0, Amplitude: 13.703349113464355, Offset: 101.08976745605469, Phase Shift: 0.0, Phase: 38581.4765625
0:00:01.316270: Frequency: 0.0, Amplitude: 12.519556999206543, Offset: 100.60355377197266, Phase Shift: 0.0, Phase: 38582.0390625
0:00:01.400932: Frequency: 0.0, Amplitude: 11.413397789001465, Offset: 100.12814331054688, Phase Shift: 0.0, Phase: 38582.609375
0:00:01.520929: Frequency: 0.0, Amplitude: 10.166817665100098, Offset: 99.56305694580078, Phase Shift: 0.0, Phase: 38583.32421875
0:00:01.626033: Frequency: 0.0, Amplitude: 8.944477081298828, Offset: 98.97452545166016, Phase Shift: 0.0, Phase: 38584.1171875
0:00:01.679847: Frequency: 0.0, Amplitude: 8.568808555603027, Offset: 98.78606414794922, Phase Shift: 0.0, Phase: 38584.3828125
0:00:01.780007: Frequency: 0.0, Amplitude: 7.74778413772583, Offset: 98.35818481445312, Phase Shift: 0.0, Phase: 38585.0078125
0:00:01.904579: Frequency: 0.0, Amplitude: 6.823190212249756, Offset: 97.8477554321289, Phase Shift: 0.0, Phase: 38585.796875
0:00:01.988639: Frequency: 0.0, Amplitude: 6.246575355529785, Offset: 97.51129150390625, Phase Shift: 0.0, Phase: 38586.34375
0:00:02.104453: Frequency: 0.0, Amplitude: 5.541444301605225, Offset: 97.07783508300781, Phase Shift: 0.0, Phase: 38587.0859375
0:00:02.197981: Frequency: 0.0, Amplitude: 5.051751613616943, Offset: 96.76046752929688, Phase Shift: 0.0, Phase: 38587.66015625
0:00:02.313149: Frequency: 0.0, Amplitude: 4.518551826477051, Offset: 96.39623260498047, Phase Shift: 0.0, Phase: 38588.3515625
0:00:02.407877: Frequency: 0.0, Amplitude: 4.0939621925354, Offset: 96.09088897705078, Phase Shift: 0.0, Phase: 38588.9609375
0:00:02.501134: Frequency: 0.0, Amplitude: 3.7441329956054688, Offset: 95.82678985595703, Phase Shift: 0.0, Phase: 38589.51171875
0:00:02.580724: Frequency: 0.0, Amplitude: 3.448925495147705, Offset: 95.59395599365234, Phase Shift: 0.0, Phase: 38590.01953125
0:00:02.681718: Frequency: 0.0, Amplitude: 3.078559160232544, Offset: 95.2872085571289, Phase Shift: 0.0, Phase: 38590.71875
0:00:02.780366: Frequency: 0.0, Amplitude: 2.797930955886841, Offset: 95.04248809814453, Phase Shift: 0.0, Phase: 38591.30859375
0:00:02.875160: Frequency: 0.0, Amplitude: 2.5324838161468506, Offset: 94.79936218261719, Phase Shift: 0.0, Phase: 38591.92578125
0:00:02.970915: Frequency: 0.0, Amplitude: 2.3137075901031494, Offset: 94.58894348144531, Phase Shift: 0.0, Phase: 38592.484375
0:00:03.062152: Frequency: 0.0, Amplitude: 2.087655544281006, Offset: 94.36100769042969, Phase Shift: 0.0, Phase: 38593.12109375
0:00:03.158605: Frequency: 0.0, Amplitude: 1.8992632627487183, Offset: 94.16124725341797, Phase Shift: 0.0, Phase: 38593.70703125
