Time, Frequency, Amplitude, Offset, PhaseShift, Phase
0:00:00.029276, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.136648, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.227536, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.320587, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.413701, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.506812, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.599753, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.708040, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.800761, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.876306, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:00.968709, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.075758, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.184180, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.261752, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.356939, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.464285, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.557232, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.648894, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.759803, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.837384, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:01.930158, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.022268, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.116017, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.208233, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.301117, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.393581, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.487437, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.579181, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.672776, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.763700, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.869943, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:02.962179, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.054835, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.161507, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.254699, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.349115, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.426287, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.516705, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.623723, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.715679, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.808416, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.899918, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:03.992177, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:04.084051, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:04.175101, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:04.267210, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:04.359234, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:04.450842, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:04.558958, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:04.651884, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:04.742654, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:04.837329, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:04.929436, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.022617, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.114479, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.206362, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.298254, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.390274, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.499573, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.591226, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.670319, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.778185, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.871250, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:05.964041, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.056830, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.166146, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.259036, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.351213, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.443874, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.536887, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.614122, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.720350, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.810911, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.903176, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:06.994608, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:07.089551, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:07.181397, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:07.274177, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:07.365971, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:07.457755, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:07.547396, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:07.640034, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:07.733217, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:07.840157, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:07.931522, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:08.022716, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:08.114879, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:08.206485, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:08.299080, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:08.392225, 0.0, 0.0, 90.0, 0.0, 0.0
0:00:08.485370, 0.0, 0.0, 90.0, 0.0, 0.0
